,CRASH_DATE,CRASH_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,CONTRIBUTING_FACTOR_VEHICLE_3,CONTRIBUTING_FACTOR_VEHICLE_4,CONTRIBUTING_FACTOR_VEHICLE_5,COLLISION_ID,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,VEHICLE_TYPE_CODE_3,VEHICLE_TYPE_CODE_4,VEHICLE_TYPE_CODE_5
0,01/01/2019,0:10,,,,,,EAST GUN HILL ROAD              ,,,0,0,0,0,0,0,0,0,Pavement Slippery,Following Too Closely,,,,4061214,Station Wagon/Sport Utility Vehicle,Sedan,,,
1,01/01/2019,18:41,,,,,,VERRAZANO BRIDGE UPPER          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4060800,Sedan,Sedan,,,
2,01/01/2019,23:55,,,,,,MARTIN LUTHER KING JR           ,,,1,0,0,0,0,0,1,0,Illnes,,,,,4060852,Sedan,,,,
3,01/01/2019,6:00,,,40.62334,-74.16282,"(40.62334, -74.16282)",,,29        AMADOR STREET                 ,0,0,0,0,0,0,0,0,Unspecified,,,,,4060527,Sedan,,,,
4,01/01/2019,5:30,BROOKLYN,11223.0,40.608814,-73.973,"(40.608814, -73.973)",AVENUE P                        ,MC DONALD AVENUE,,1,0,0,0,0,0,1,0,Aggressive Driving/Road Rage,Unspecified,,,,4061466,Sedan,Sedan,,,
5,01/01/2019,6:10,QUEENS,11101.0,40.753479999999996,-73.91960999999999,"(40.75348, -73.91961)",,,43-40     NORTHERN BOULEVARD            ,1,0,0,0,0,0,1,0,Steering Failure,Unspecified,,,,4063025,Sedan,Sedan,,,
6,01/01/2019,18:11,QUEENS,11101.0,40.745235,-73.937706,"(40.745235, -73.937706)",SKILLMAN AVENUE                 ,THOMSON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4060565,Sedan,Taxi,,,
7,01/01/2019,9:58,,,40.77039,-73.91771,"(40.77039, -73.91771)",31 STREET                       ,HOYT AVENUE SOUTH,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4060700,Station Wagon/Sport Utility Vehicle,Sedan,,,
8,01/01/2019,2:30,QUEENS,11412.0,40.693591999999995,-73.75121999999999,"(40.693592, -73.75122)",118 AVENUE                      ,201 STREET,,0,0,0,0,0,0,0,0,Headlights Defective,Driver Inattention/Distraction,,,,4060516,Sedan,Station Wagon/Sport Utility Vehicle,,,
9,01/01/2019,18:29,,,40.595074,-73.78455,"(40.595074, -73.78455)",BEACH CHANNEL DRIVE             ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4060656,Sedan,,,,
10,01/01/2019,1:00,STATEN ISLAND,10310.0,40.63743,-74.11375,"(40.63743, -74.11375)",HENDERSON AVENUE                ,ELM STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,4060714,Sedan,Sedan,Sedan,,
11,01/01/2019,13:40,STATEN ISLAND,10306.0,40.587074,-74.10393,"(40.587074, -74.10393)",SEAVER AVENUE                   ,RICHMOND ROAD,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4060536,,,,,
12,01/01/2019,5:00,,,40.744644,-73.77041,"(40.744644, -73.77041)",LONG ISLAND EXPRESSWAY          ,,,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,4060456,Sedan,,,,
13,01/01/2019,4:10,QUEENS,11420.0,40.679913,-73.80588,"(40.679913, -73.80588)",,,115-48    135 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,,,,,4060419,Sedan,,,,
14,01/01/2019,9:40,,,40.681503,-73.904106,"(40.681503, -73.904106)",BUSHWICK AVENUE                 ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4074919,Sedan,Station Wagon/Sport Utility Vehicle,,,
15,01/01/2019,12:40,BROOKLYN,11232.0,40.655429999999996,-74.003265,"(40.65543, -74.003265)",4 AVENUE                        ,34 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4060827,Sedan,Sedan,,,
16,01/01/2019,19:00,,,40.817875,-73.89333,"(40.817875, -73.89333)",BRUCKNER BOULEVARD              ,,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,4060581,Sedan,Sedan,,,
17,01/01/2019,10:10,BRONX,10458.0,40.867090000000005,-73.88575,"(40.86709, -73.88575)",OLIVER PLACE                    ,DECATUR AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4061894,,,,,
18,01/01/2019,19:03,MANHATTAN,10018.0,40.754055,-73.99583,"(40.754055, -73.99583)",WEST 35 STREET                  ,9 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4064621,Station Wagon/Sport Utility Vehicle,,,,
19,01/01/2019,4:53,,,40.642666,-74.02001,"(40.642666, -74.02001)",GOWANUS EXPY (BQE)              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4060472,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
